赚,半数嫌贵
嫣,正和她在一起
蓦,谢幕之后马上来
蓦,一鞭残照里
蓦,夕阳冥色来千里
蓦,夕阳入东篱
蓦,夕阳西下马行迟
蓦,千里暮色日西沉
肩,孤星残月杜鹃鸣
肩,启明方落太阳出
肩,星月相隔不盈尺
肩,桂魄窥门上玉楼
肩,孤星伴月隐云层
弱,疏雨零落残月影
弱,莲瓣双翘湿露珠
弱,左点点右点点专用弓
弱,一双绣鞋溅泪痕
弱,莲勾乍现凤头小，伫立翩然不胜风
弱,何事杯蛇更弄影，凝思又复费疑猜
弱,星星伴残月，残月伴星星
弱,上弦下弦星星点点
弱,点点滴滴，左右开弓。
弱,正中乱成一锅粥
弱,双星残月两相依
弱,双移莲步履于冰
臗,宽容待人，明月常挂
臗,宽容待人，明亮无比
脕,晚来月当头
脕,晚来日沉月西移
脕,一月一直不晚
脕,一月一直免
踆,空中云脚错落
踆,空中云脚雾中看
踆,空中小桥云脚下
踆,空中云脚雾中山
巢,结果小于三
巢,春日扬波起潮声
巢,环山春色雁群飞
巢,村前环山曲水流
巢,枝头群雁入画中
巢,树头雁阵入画中
巢,田头西南风，村前东南风
巢,田头树梢群雁栖
令,侧着耳朵儿听
令,见其反复，疑是小人
令,革命方略
令,茅庐之中定天下
令,无雨零点起飞
令,损失太大人痛心
令,人生如戏
令,有点点冷
措,西挪东借
措,提前三周
稳,失利之后先隐蔽
痛,厂设宁波曲水间
鄄,佛地取经回东都
鄄,一人坠落四方乱
秆,稼轩选集
秆,斜月半轩犹是树
画,改山造田
画,眼前迷离见此山
画,山田重叠接云端
画,开山造田有所图
画,移山造田话丹青
画,田置于口中，两角封不上。
画,平顶山边日影重
画,开山造田
画,岳雷扫北开新图
画,空山之中一亩田
画,山里改变旧貌
画,田边筑起三道堰，田头修通一条渠
画,移山造田
画,半亩方塘一鉴开
画,正是乱山深处过重阳
画,挖空心思改造田
画,富士山下
画,要改旧貌山必移
画,加入内框外框破
画,堵住缺口改旧貌
画,山形变化旧貌改
画,山中变样，栽进富根
画,山中一转见良田
画,山中纵横，果木凋零
峒,山冈错落合无人
峒,应似比丘
赀,此人正好有钱来
赀,此人正好有钱
赀,这是一个宝库
汰,派头有点大
汰,酒后失态心不在焉
汰,大江东去星低垂
汰,一行到天水
汰,雁阵横斜疏雨中
汰,雨从天上落
鮅,山东必有鱼
镓,家和就在钱江边
镓,家和就在钱眼边
镓,家和就在钱眼旁
戍,前人首先为后代，守卫边疆树声威
戍,战后仍须人驻守
戍,挪威一女出点子
疃,连日立里
疃,四方童心力无穷
婺,柔衾欲盖千金身
婺,柔衾欲盖千金体
婺,矛头直指巾帼
婺,一矛穿双绣娘
应,举头眉月高高挂
应,举头望，望不见星孤雁阵斜
应,庭前举首听莺声
佞,月里婵娟人独立
佞,齐人有一妻一妾
佞,安肯弃冠为尽仁
佞,夫人改嫁人
佞,花言巧语谄皇上
佞,一女信成双
佞,二女巧安排
佞,二女怀春嫁比邻
佞,花言巧语谄君子
佞,花言巧语谄媚人
烨,叶缺花残正晚秋
烨,古稀之翁传佳话，点滴助人谱新篇
偕,人到白头赖后昆
偕,有情日后成双对
偕,倾心残花秋色浓
偕,庾开府、鲍参军
熠,火箭
熠,习字当头一把火
熠,灯前共度白头约
替,一到春天变新貌
替,日产天天突破
替,接连三天，天天超额
替,与君二人同日生
替,改变旧三从
替,白面郎君
替,二人相对泪水一直流
替,乍见两山相对拱，回看影里具情郎
替,天天伸头看落日
笖,竹下三个人
笖,竹下一人影半生
笖,竹下一人影半移
笖,竹下一人影如钩
机,凤落枝头又飞去
机,半生凭枕听鸡声
机,借得春意几许
机,花朵变形不见花
机,春色清风里
机,风中错落梅半开
籂,人人饰演竹笛手
籂,人人饰演竹头人
籂,个个来饰演
籂,人人饰演一角色
籂,人人饰演一角
詨,交换意见
铝,双方合作出经济
铝,双方合作出真金
铝,双方约会在钱江
铝,双方约会在钱眼
凿,下岗无过错，转向再就业，干一点，挣一点
毂,几声早莺啭树间
跊,未到村前先种菜
耷,夺取一半
耷,天下崇老聃
漠,日暮泛波起
漠,清明节前人一聚
漠,用心改革，要江西昂首于天下
趔,一走就停
殇,夜幕一临先尽觞
殇,一夜沦为断肠人
殇,一夕人对半垂杨
箹,私下里约会竹笛
箹,个个和约
箹,个个来约会
貒,依山而傍猪
霮,雨淋漓漓透半边
狠,后面跟来一条狗
狠,狼烟一点付云消
狠,开垦荒土独守边
鈩,金户
鈩,玉户添丁
鈩,玉户添丁进口金
鈩,一家有余粮
鈩,一家之金
鈩,一家有五口，银行存款
聚,骤然飞马而去
菖,雁阵横斜暮色中
峭,当头玉镜照天台
峭,老赵出走到山巅
峭,小月当头悬崖上
峭,小月当头照高岗
峭,小山依旧月当头
峭,山月当头听箫声
峭,半壁江山明月来
峭,小月当头悬山前
峭,半月山景看不足
峭,下岗之后月当头
唠,周末游崂山
埤,中央立石碑
厣,杜十娘因何投水
厣,大厂旧貌换新容・此谜有缺点
厣,大厂旧貌换新容此谜有缺点
鹊,似曾相识燕归来
鹊,翻开日记起相思
鹊,黄昏前后鸟归来
鹊,鸟飞三周
谇,昔日戏言身后事
谇,云翠羽飞
袖,半舒衿带吹竹笛
袖,裙带关系
厕,厄运空临水难测，人移高原一侧安
橥,拴牲口
岱,暗锁岩石封黛色
崾,山西姑娘来相会
崾,山西姑娘来了
崾,山西姑娘
崾,西安女排要出头
崾,山西姑娘去晋中
崾,山西姑娘去会山
雱,雪后芳草远
雱,雪落万点
雱,雪后芳草疏
雱,雪后芳草没
雱,雨点纷飞落远方
稛,田里田外禾苗茂
稛,田里田外禾苗绿
稛,香酥两可靠捆绑
韥,韋士渾身是寶物
彭,古树掩村竹影斜
彭,影后相思怀苦心
彭,古树掩村柳叶飘
彭,东风频添相思意
彭,田中相思傍细柳
彭,十载相思影半斜
彭,老树村落竹影斜
彭,东内缕缕添相思
彭,密雨斜侵繁树里
搡,双双携手伐桑木
搡,揪住桑草
搡,双双携手去伐桑
搡,双双携手伐桑树
笾,一边插竹一边栽
笾,一边插竹棍
笾,一边插竹一边收
隍,十月培土
隍,白玉无瑕一一降
隍,白玉无瑕陪君来
棹,早上一别高楼前
消,去湖心小聚
消,江左当前明月归
消,尘土不沾水月圆
消,波光先得月
消,江边玉兔恰当头
消,少待寒光出海东
消,当前唯有江边月
消,湖边小聚听箫声
消,小立低徊凝露重，朦胧月色未全灭
簜,个个赴汤蹈火
簜,人人喝汤
椹,棋盘纵横排局巧
部,张A人亡六出前
部,一处音传出，听来似步声
部,换位作陪
部,一片宫商在耳旁
部,下属奉陪左右
搴,寒省指日归
搴,出手第一寒省亲
搴,寒凝双手寒凝指
搴,寒凝双手寒凝泪
搴,寒凝双眸落指端
搴,寒凝双手寒凝手
谰,春夜话阑干
跄,步履维艰
骄,曹操走马看花
骄,驿外断桥边
骄,断桥游春赏桃花
骄,一马过桥压断梁
骄,马踏木桥断
骄,千里相逢断桥边
袋,代购前衣
袋,现代时装
袋,现代服装
袋,一代服装
袋,现代服饰
袋,一代风衣
始,象鼻山
始,案中发现另一案
始,公婆各有半边理
始,恰似浮云一一散
始,阿里山的姑娘
始,相似三角形
始,宝岛姑娘
始,要去基层，否则不行
卖,破帽遮头整十载
卖,大小正好有变化
卖,十载破帽遮头
卖,由闭门阅读说开去
卖,画中大同小异
卖,购进三星补汁来
卖,画中大小已改变
髑,头骨变形虫入网
髑,头骨变形虫入穴
髑,头骨变形虫入巢
髑,头骨变形虫入侵
筴,个个相夾
筴,人人见了笑
筴,个个来夹竹
筴,人人相夾
筴,个个来夾竹
拼,重点奉献，开拓前进
拼,重点在于开拓前进
拼,携手共把面貌改
拼,合十
拼,提前开会两点来
拼,携手共为把身翻
拼,共回头把手招
兑,兄弟个个皆落第
兑,善始克终向有心
兑,八哥
兑,一点丹心为四化
兑,会心的一笑
兑,说不出话来
兑,紧要关头党先行
兑,羌字内空两边紧
坞,日落墙西满地黑
掴,拾起园中遗玉
矫,一人得寸进，天下无双
碕,大河奔流碧空上
碕,放手开拓大有可为
碕,大河奔流碧空尽
瘤,溜进厂里成累赘
瘤,后遗症
赆,怒沉百宝箱
赆,失败之后有所收
赆,用尽宝物仍不剩
赆,贾客散而复聚
赆,用尽宝物仍不闲
赆,尽弃宝玉玉无瑕
赆,千金散尽徒尸走
诘,好话
诘,同心设计
诘,三三两两话同心
诘,恭贺新禧
诘,祝福
诘,欲施巧计结同心
诘,十载同心言相投
诘,方言道在心为志
诘,报喜不报忧
诘,转干表格
襛,衣着宽松
襛,衣着引得夜半寒
襛,衣着宽大
飧,晚饭
飧,夜宴
飧,夜晚吃
飧,夜食
飧,晚上的饭
飧,晚餐
根,秋色方临结银杏
根,山东
根,眼前变成一片林
根,左右极限
根,八卦山之春
根,休恨别人不关心
根,春临八卦山
根,很字两人离，木棒左边立。
根,银床一半空
誻,水上谈天
誻,一言蔽之，日趋沉默
誻,水上谈话
誻,水边谈论
誻,谈水之日
辽,之子于归兮，一去不返
辽,一走了之
辽,过去十分了得
觯,一角
觯,独角单飞
觯,独角牛
觯,独角戏
觯,一角独守
倚,儿童不宜
倚,假日空暇去骑马
倚,得一人可安天下
倚,大哥可否派人来
倚,何必又牵一人作伴也
倚,有人牵头可依靠
倚,大河奔流雁飞斜
倚,得一人可得天下
倚,少儿不宜
倚,香凝赤心留人间
倚,何以一人独凭阑
倚,人生何处一相逢
倚,只身投奔何处去
沁,三潭映月西湖景
沁,疏星残月照河西
沁,一弯新月邻南斗
沁,挥镰若转月，拂水生连珠
沁,西湖三潭印月
沁,三潭印月西湖景
沁,西湖波底映新月
沁,江畔孤舟溅浪花
沁,唯有西湖波底月
沁,浪拍扁舟海滩边
沁,江畔轻舟穿浪行
沁,一弯新月两三星
沁,横江河伴相赏月
沁,二泉映月
沁,惟有西湖波底月
沁,小舟荡起层层波
惮,独怕
惮,一个愿意
沆,风里去，雨里来，一生离乱
沆,湖边亭上清风里
贲,戒赌之后已而立
贲,开口求人度一卋，何如发愤自用心
贲,花中珍品
貦,分明是元宝
貦,下面是貝元
岚,山下枫林一片红
岚,高岗密林藏杀机
岚,下山虎
岚,一一出击，错失先机。
岚,山区变了样
岚,山下石燕飞
岚,岁首献诗
蛟,浊浪排空一点无
蛟,浊浪排空接远山
噎,十粒豆豆入口来
韟,与韋白大十分合作
韟,与韋白大小不同
韟,韋白大帝
韟,与韋白大十分般配
韟,与韋白大十分相似
韟,韋白大十
韟,韋白大十八
眦,眼前如此美
眦,如此眼花缭乱看
眦,眼前如此
眦,此字不难猜，却把泪眼闭。
眦,如此眼花缭乱耳
痦,欲语无言退后患
埒,颓垣残寺月斜西
埒,半墙斜月十分低
诔,云头勾勒画如来
诔,未写一字、语先含悲
诔,口念如来悼鬼魂
骡,马上返回田
骡,千里归人累
骡,马上相逢在田头
瑾,与君廿载同江东
蔘,参差花下人依恋
蔘,花前人影参差是
蔘,花前参差雁阵斜
蔘,参差树木映花前
蔘,参差树木映残花
阉,家门半掩
阉,俺们两人不在
秔,几度芳心付秋流
秔,几度芳心付秋波
犀,角牛尾巴长在肩
篑,同学少年多不贱
蒋,十九
巫,人对断肠人
巫,坐中横陈者，移上最高楼
巫,清水江边雁两行
巫,一道小桥南北架，两行斜雁东西飞
巫,一帘垂下隔人影
巫,人人关心
巫,天上银河隔牛女
巫,两人隔江望断水
巫,二人分庭坐江东
巫,混入江东重为人
巫,人人都出工
巫,工人二位
慕,点点浪花钓夕阳
慕,莫把心儿牵挂
鱽,刀刺鱼肚
鱽,鱼刀
鱽,山东一刀
酉,二口子结合
酉,二口子相会正黄昏
酉,酒不沾边
酉,酒后有言知是鸡
酉,喝酒解渴口更干
酉,听说有鸡尾酒会
酉,两口儿相会在黄昏
酉,闻有声自西南来者
酉,干了酒已是黄昏时候
酉,一来就客套
酉,来宾一到黄昏近
酉,客人一到置水酒
酉,一套西装
浣,元结端酒奉高宗
浣,浮桥疏雨远无边
夕,汇集四方名品
夕,加倍不少，加一不好。
夕,添一笔不好，加一倍不少。
夕,夤夜梦多个个同
夕,梦里青春皆虚度
夕,三十六载成一梦
夕,梦中不见葬花人
夕,我找不到横撇点
夕,夜里有，白天无，死了有，活着无，多则两个，少则没一个。
夕,加倍才算多
夕,加一笔不好，加一点不少。
夕,名扬国外
夕,刚一接触就变坏
夕,只要半个多，待到太阳落
夕,多少个夜晚
夕,多一半
夕,一山有四季
夕,一见倾心共死生
夕,二十四桥空旧梦
夕,二十四桥成旧梦
夕,加一不好，加倍不少
夕,总是朝三暮四
夕,一直有点见外
夕,一抹斜阳，只与黄昏近
撂,着手略有转变
撂,略作变动即得手
飒,泣向风前洒泪珠
飒,站风不正
飒,站在风口
尧,日出天明
尧,此日登临曙色开
尧,有火才能煮熟饭，有水才能把田灌，蚕儿吐丝一圈圈，日头出来亮了天。
尧,有火在烧，用水来浇
尧,总有一天会明白
尧,名君如日至天明
尧,有一天会明白
掘,携手共进莫高窟
掘,尺有所短应藏拙
掘,拙作结尾十分差
侠,陕西省，西安人。
侠,一一入火
侠,仁人善为先
侠,陕西省人
侠,陕西省西安人
睬,看礼花
觽,山在角落看不见
逛,送君出关独西归
逛,独弄小舟载茧去
精,一年四秀住南宫
精,一来二去动情心
精,来也匆匆，去也匆匆，一别之后，已是一年
精,绕梁双燕迎春至
精,翠绿点点缀枝头
精,从来一别又经年
霜,雨落枝头半遮眼
霜,天下春光收眼底
霜,眼前雪梅才半开
霜,断桥残雪入眼前
霜,雪杖残处眼前来
霜,眼前春雨连绵
霜,雪上梅开入眼来
霜,上边查下边看，虽有雨可晴天。
霜,雨打枝头泪水流
霜,放眼雪村寻不见
霜,雨后相会
侦,小人乱踢腿，矮人藏桌底，痩人躲一旁
侦,高风亮节留人间
侦,立身本高洁
芝,龙蛇飞舞右军书
芝,明朝散发弄扁舟
芝,草化流萤穿曲径
芝,走近花前觅知音
芝,草书得宠于右军
噙,喙
噙,寄人篱下为糊口
符,竹中直人比拼木村拓哉
符,寺后翠竹偏宜人
符,人人埋头修竹林
符,个个都是修竹人
符,人人埋头修竹丛
符,修竹成寸草
租,空口谈和，且搁一边
租,几可乱真
租,且请秋收之后来
租,前程唯有一登楼
租,且散愁心消消火
租,楼头眉月且勾留
踩,脚底接触
踩,脚下接触
灼,垂钓金风吹拂，清秋眉月疏林
陔,孩子走失到陕西
陔,猪八戒阵前相助
襦,冒雨而来袄
襦,冒雨而来保暖衣
襦,雨后依稀挂衣边
襦,雨伞遮短袄
昕,一天赚百钱
昕,日落归舟近
昕,闻一多
昕,新婚之后
牝,花草凋零牛耕耘
硌,翼王雾中临哨前
己,有言在先忘不了
己,蛇口开放
筰,人人合作
筰,个个合作
筰,个个来作演讲
筰,个个来作陪
癃,隆中对残月一生憾
菊,空手一掬花上露
菊,两只小莺栖柳上，一钩新月映花前
菊,半包花生米
菊,半掬花上露
菊,门犹半掩映眉月，春牙点点草初萌
罚,转眼话别各西东
罚,言出如刀目已横
罚,别前无言秋波转
罚,别后转眼赋首诗
罚,横目论刀
羙,大火烧到羊身上
羙,大火烧到羊城边
栈,一丝不线，单木不林
栈,钱挂杖头已半空
栈,曲园秋浓落榆钱
屺,我到山东
屺,我在山东
屺,我到太行寻根
屺,我在太行山
屺,我到武夷山
檎,人虽离休，位变人没变
鲁,天上美人
鲁,归田之日不负前盟
鲁,美人天上落
鲁,一半在海河，一半在天空。
鲁,明月之下会美人
鲁,明月当空照美人
鲁,竭泽而渔终有日
鲁,节日有鱼
哀,衣服中间有个洞
哀,一咬破衣
哀,一口咬破衣
哀,如今瘦却千金体，宽放罗衣悲不禁
哀,格子衬衣
哀,服装进口
哀,一套进口服装
哀,出口服装
哀,出口成衣
驱,午时风向偏东
驱,铁骑逞凶横
矵,石头砸出来
矵,治厂有方开拓手
矵,砸碎砖头
绮,乡下变化可真大
绮,大河奔流带残红
锊,一寸土地，六寸金钱
锊,一寸金钱，合六两
锊,一寸金钱，合六两。
凄,冻雨斜侵荆室旁
凄,西子湖畔一姑娘
凄,西子湖畔无美人
凄,西子湖畔一婵娟
凄,西子湖畔一千金
虚,作业本来就不实
虚,业已空空
髋,骨折之后骨宽
鲤,鱼里有一人
鲤,鱼里有鱼
鲤,鱼里有一物
鲤,鱼里藏
鲤,鱼里有人
鲤,鱼里来
顝,一张补骨頁
顝,骨頁
顝,骨页
偻,倚阑干东楼
偻,千金散尽倚楼头
偻,楼头斜月倚阑干
矧,弓弦搭箭
矧,苍穹新月一抹斜
梯,林边远送暗流涕
葆,人依古梅花半落
葆,残杏枝头花几许
葆,始信人间苦别离
葆,休要藏头露尾
绾,牵线搭桥会郎君
绾,牵连两地官
扛,提前收工
扛,提前施工
扛,打工一定要小心
扛,非机器生产
扛,打发男人来干活
扛,一手掩盖半天下
鸫,鹦鹉长伴主人身
逃,雨中孤帆去，小舟送儿归
逃,春来桃发尺书迟
逃,得了百万还不开溜
滋,玄而又玄耍滑头
麸,一日不见麦夫人
短,一知半解十分差
短,天际新月惹相思
短,二人相思到白头
短,前前后后插着箭
短,一箭定相思
短,一点一点得知
妊,女士优先
妊,委任之后
妊,一千金
蕙,烛下起草二心集
窄,人有作为力无穷
翩,砦门重映残边月
翩,房后竹篱月影残
顷,人才脱颖而出
顷,似是残花顺水流
顷,见禾脱颖而出
顷,禾苗脱颖而出
鱓,惟独垂钓雙鉤垂
鱓,惟独垂钓雙鉤鉤
爰,一点一滴总是爱
爰,太阳照得身上暖
爰,又是天脚半隐现，清蟾斜影卷帘看
鯐,鱼行我也行
鯐,鱼行我步
鯐,鱼行
鯐,鱼来我往
滟,桃花溪
滟,西湖远树托红霞
滟,万紫千红映西湖
篟,倩人无处觅幽篁
篟,个个都是情侣
篟,竹下倩影横斜
楼,贪婪偏要捞点滴
楼,玉人枕上留残粉
楼,林间佳丽锁双眉
豇,一江流水起相思
豇,断红堂有相思字
豇,登上绝顶望江东
鲄,山东河内一日游
瓒,一半赞美一半钦
瓒,一半赞成一半钦
睐,独来独往自清高
粗,一月米备齐
粗,学书夸得南宫派，下笔宜兮竟未精
昧,田边放羊
昧,合口味
昧,独上西楼逐明月
昧,看似搞调查，变相游日本
昧,翻看半日终不解
昧,一方建设，八地支援
昧,调查结果不公开
昧,口味不分
昧,一味
昧,调查
剞,大哥不可到后方
剞,独留飞刀独为先
剞,独留飞刀独领先
剞,独具匠心大刀具
琴,今与君重逢
琴,皇上不见了，皇后心挂念
琴,如今已是双冠王
琴,今来不上中班
琴,班前班后心挂念
琴,称孤道寡今安在
琴,当代影帝
僮,家乡的位置
僮,半仙站野外
鲥,山东及时雨
鲥,山东变化十分多
憬,心景在前，前情未了
憬,心景融融融一体
憬,心景在前，前前后后
憬,心景在前，前情在后
糅,枝头柔柳系芳心
弗,持起绣鞋缘底事，只凭弱线喜双添
弗,宛若残月落东川
弗,佛离人去人即佛
弗,佛殿有佛无人拜
弗,佛言不信
弗,一弓安两箭
弗,佛言不必信
遗,无力守边溃如流水
袍,破袄半遮无饱食
袍,承包到人
龑,独倚龙天
花,二十七人
花,萤
花,种花要除草，一人来一刀。
花,含羞低头表倾心
花,倾心待人获宽心
花,虚心正派对待人
花,此字不奇怪，芬芳又自在，七人头上草，大家都喜爱
花,头上草帽戴，帽下有人在。短刀握在手，但却人人爱。
花,为人正真亦虚心
花,七人头上长了草
花,雄心虚心还宽心
花,正是虚心使人进步
花,人虽艺高要虚心
花,为人正直犹虚心
花,做人要宽心虚心
包,有火腾空而起，有口不能笑谈，有衣能过三九，有水很快就完
包,有草花将开，有水可冲茶。有脚走得快，有火敌人怕。
包,长草花将放，加水茶沏成，有脚行走快，点火有响声。
包,有草能开花，有水能沏茶，有脚走得快，有火响声大。
包,跑断了脚
包,自助餐
包,半局虽未终，连作长蛇阵
包,有手怀抱里有脚想溜掉有火点就跑
包,得食果腹
包,有手怀抱里，有脚想溜掉，有火点就跑
包,半局虽未终，连作长蛇势
包,一钩新月向西流
挣,残雪残冰尽扫净
挣,手执钓钩莫心急
鲚,山东省济南
番,田上禾穗颗粒多
番,菜田里锄草
贩,反贼戎装已解除
贩,贪后就不正
贩,人在岗位中，务必尽心尽力
贩,合浦珠还
閗,门内乱成一锅粥
閗,门内战
閗,斗室
閗,门内争先进
棍,连日植树竞赛
棍,十八日相逢
发,眉月孤星故人来
发,水泼不进
发,泼水难收
发,泼水节
蕊,花前有意两心知
蕊,三思之后始宽心
蕊,放心放心，加倍放心
蕊,晚节不保，后患多多。
同,一周纵横
同,无人作合再辞君
同,增加一周
同,一下就回
同,一下来就看到对方
同,司令下令挥师东下
挎,竖指称赞
钞,布希
钞,钱少毕竟还是钱
嗜,老两口一定来
嗜,老两口一见就喜爱
嗜,老胡正月过生日
竈,挖空山腹建茅房
竈,挖空山洞，填土造田
竈,挖空山腹建陵墓
突,洞中别有天
突,狗洞
突,女不安分，引犬交，终丧刀下
突,大桥上下雨纷纷
突,大同石窟旅游点
玺,临危当头须易主
玺,心上人全看您玉成
玺,中国，你往高处走
玺,一点真心直伴你
遁,出航之前先隐藏
遁,矛来盾去
罔,三面受困，中箭而亡
罔,半截老丝结旧网
罔,四不象、六不顺、七不全
蚱,昨夜蝴蝶飞
蚱,昨夜一帆风里去
蚱,蜻蜓立钓丝
蚱,昨夜隐约萤火伴
蚱,昨夜一帆风乍起
蚱,扬帆昨日行
钺,走出河内入金边
豕,遂送轻舟点点去
豕,遂见轻舟点点来
经,轻车落落载丝来
经,金音声里又残红
柱,左边来、少两人，右边往、少两人。
柱,中国改革解困境，开放春风遍东方
柱,琢玉妆成一树高
柱,若有人知春去处，唤取归来同住
柱,植树还应灭蛀虫
柱,中国改革十八载
柱,主钉十架引人归
叁,云天断处觅新景
叁,云天化
叁,柳丝参差横川上
耊,一去上半场就坐
耊,一直去基层
耊,至高无上
抄,没有目标省接头
抄,打头跨入先进省
抄,少损失一半
抄,首手接上断纱头
抄,不要多插手
凇,春风解冻
凇,八角楼前雪初融
凇,八点松
硒,潭水早退见石出
苋,重建星桥为拓宽
苋,谓之是草
苋,砚边偶拾
扣,加重负担
晕,东洋兵
晕,车到天桥，排成直行
晕,孙行者存尘间
晕,一桥隔断半轮明
晕,车在桥下日当中
銶,一掷千金金亦多
銶,求得金三角
旌,一生进取方为人
旌,呱呱坠地・碎锦格
旌,呱呱坠地
旌,分娩法
旌,人生有缘方聚首
淬,浜
淬,酒醉时间不计较
捅,捶首痛心如刀扎
捅,接通一半
捅,携起手来勇向前
党,小桥之下约哥来
党,光头剃去当和尚
党,小桥会兄
鱵,左边有条鱼，右边有篓水，
鱵,左边有条小鱼，右边有篓空
庙,矿后油水少
庙,共同会见古广明
庙,花下离离弄日影
盾,放走人质显真心
盾,遁之夭夭到荷兰
颜,产后须补
颜,产后须进补
颜,必须再产
颜,生产形势揭开新一页
颜,怀胎十月
颜,生死关头须团结一点
颜,产后须调理
螋,虫落石臼中
燠,秋后大米向外运
燠,秋日飘香大米堆
碒,厂方提倡足下金
碒,厂方提倡足赤字
碒,石达开金
鳓,山东变革有后劲
鳓,山东革新有方
筛,个个求师
筛,步卒五千
筛,先生君子也
苿,未到蓬莱不罢休
苿,未到蓬莱去
苿,花开之后未相逢
苿,花开之后未逢人
苿,花开之后未见花
酊,酒后一定要小心
酊,灯昏酒泼人半醉
酊,酒后灯灭入醉乡
鏸,改革正好惠及后
鏸,改革正是为金惠
鏸,黄昏前后心相印
捍,一旦松绑放手干
捍,同心改革携手干
捍,十日一携手
扶,郎君原自浙中来
扶,一手撑破天
扶,一手通天
扶,提前一天，超额完成
扶,二人携手
扶,提前一天超额
扶,云端雁阵指向西
扶,二人联手合作
昏,姑娘一到结夫妻
昏,有女结婚
殃,直立终宵心不快
歼,一夜白头心中苦
歼,秋凉一夕人离去
歼,一千零一夜
歼,天方夜谭
歼,秋凉一夕人归去
徙,乔迁道喜
嗄,独自叹离别
嗄,独自叹息长相随
沟,渭畔下金钩
黒,黑的日本
漫,四入汉阳
漫,三点一四又作圆周率
漫,转眼江边又一日
漫,又来洞庭畔，卧看明月落
獬,独角牛刀
在,孙行者存尘间
在,先存一半放庄内
在,一生离乱
在,里放一半，外存一半。
在,存身尘间孙行者
霰,雪落花零落
霰,雨点纷飞珠泪珠
霰,雪落花前月相随
霰,雪落枝头雨纷纷
霰,雨落枝头花零落
霰,雨后又见月当头
霰,雪落枝头星点点
外,夜落金钱
外,不足之处
外,滴泪直到梦尽头
外,晚来一枝栖寒蝉
外,夜晚算一卦，出门别在家
外,这边多一半，那边补一半；要想猜着它，莫在里面转。
黩,夕阳一落营业忙
坶,不是雄黄，是生地
坶,地下会堂
坶,地母
坶,地处母后
帖,归帆半落沾清流
帖,分明带下一点残
恬,千古结同心
恬,党心聚千心
恬,千古融合靠一心
恬,白首偕老同心结
恬,千古结缘一条心
恬,白头到老共一心
恬,话已说出不后悔
恬,白头到老记前情
赛,塞上运动员
买,两点有结果
买,小心倒下碰着头
买,小处改革有奔头
买,不要大变，但求小改。
买,抓大放小搞改革
买,头戴破帽来购物
买,破帽遮颜过闹市
买,一点一滴落实
买,大稳定，小调整
买,一点一点落实
买,大同小异
买,大会变小，小会变大。
买,小改革带来大收获
买,大事化小事无了
买,小心跌倒碰着头
买,大同小异也收购
买,南京改革有奔头
銌,义子金存
銌,余钱不足
銌,千金存
銌,子美吟金首
銌,子美吟金独自成
銌,存款
銌,存款有来由
銌,千金存口
壕,地头蛇
诐,东坡先生说
诐,东坡先生语
饘,稠粥
繻,雨后依稀而织
嫒,小姐爱上了小姐
嫒,爱上姣娥
嫒,宫女又来献爱心
嫒,小姐爱上小姐
嫒,宫女又来爱屋前
颡,桑田一页
颡,桑前一页
颡,桑一页
糦,一家十口喜相逢
糦,千里相逢报喜来
汩,东边日出西边雨
汩,白云流水自西东
犏,门外牛扁舟
犏,门前牛扁舟
牵,用爱心改变人生
牵,大桥下了却一生
牵,人生有离合，爱心永不变。
牵,贡献一生建大桥
牵,爱心欲献大牛哥，可否?可否
牵,人生有变，爱心犹存
牵,人生离合爱心存
牵,写尽人生分与聚
牵,尾生淹没大桥下
牵,营中生活吸引人
牵,爱心改写新人生
牵,一生爱心献天下
牵,天生一对吐爱心
牵,爱心改变人生
牵,人生有离合，爱心不能丢
胊,句拟东方月
胊,句拟东方朔
胊,月下句
齁,句拟鼻下生
憨,江东一别耳，悠然西北行
肝,月下独酌
污,把握重点，不得夸大一点。
污,清流一道入南粤
韧,伟人离去心不忍
性,一出小放牛
性,一心生一个
性,生来怕落后
性,一心放牛
性,一心寻找死对头
性,立志树桃李
丫,旧日已逝未来远
丫,一张竹叶向天开
丫,三路会合
价,人人川中游
价,二人作伴走川中
价,一个一个重安排
价,两个转变
价,一人踩高跷，一人站着瞧
价,左一个少捺，右一个多撇。
价,画亭之畔留倩影
价,一人立正，一人稍息
伥,人到白头才翻身
伥,雄心长在
伥,长安何处可消魂
伥,人到白头才翻身生
伥,前任会长似尝闻
阶,东郊长亭两依依
阶,先后降价分出等
阶,先后降价一半
阶,左挥彩旗，右踩高跷
茄,另展新姿列前茅
茄,吃苦在前功在后
茄,功名终被草没了
茄,上边两个加，下边一个加。
茄,十加十不等于二十
茄,十加十
缁,曲水西畴绿半边
缁,先绘三角形，再画正方形
缁,一水护田将绿绕
媒,甘愿拆楼让三尺
执,提前到九点
执,左手拿丸子
执,近火方知热
执,削减势力
执,势力不阿传直声
埘,破寺萧疏衔落日
埘,时逢十一
埘,寸土不丢保村庄
埘,寸土不让保边疆
埘,寸土不让保村庄
区,山中风月无边
区,匠心独运竟出错
区,凶横
区,驱马离去
区,跟杨先生读书
鸸,耐心了哥暗自忖
鸸,血变之后口难鸣
秌,香酥两可靠火候
篓,一缕游丝挂幽篁
篓,竹影半楼低
柒,残花带露知春归
